"element","image"
"32_55_12_1","0"
"32_55_12_2","63_24_11"
"56_55_12_0","0"
"56_55_12_1","111_0_11"
"2_55_13","3_54_12"
"6_55_13","11_50_12"
"8_55_13","15_48_12"
"10_55_13_0","0"
"10_55_13_1","19_46_12"
"14_55_13","27_42_12"
"16_55_13_0","0"
"16_55_13_1","31_40_12"
"22_55_13","43_34_12"
"31_55_13","61_25_12"
"56_55_13","111_0_12"
"3_55_14","5_53_13"
"6_55_14_0","0"
"6_55_14_1","11_50_13_1"
"6_55_14_2","11_50_13_0"
"10_55_14_0","0"
"10_55_14_1","19_46_13"
"13_55_14_0","0"
"13_55_14_1","25_43_13"
"14_55_14_0","0"
"14_55_14_1","0"
"14_55_14_2","27_42_13"
"16_55_14_0","0"
"16_55_14_1","0"
"16_55_14_2","31_40_13"
"20_55_14_0","0"
"20_55_14_1","39_36_13"
"22_55_14_0","0"
"22_55_14_1","43_34_13"
"26_55_14_0","0"
"26_55_14_1","51_30_13"
"56_55_14_0","0"
"56_55_14_1","111_0_13"
"2_55_15","3_54_14"
"4_55_15_0","7_52_14_1"
"4_55_15_1","7_52_14_0"
"8_55_15_0","15_48_14_1"
"8_55_15_1","15_48_14_0"
"10_55_15","19_46_14"
"14_55_15_0","0"
"14_55_15_1","27_42_14"
"20_55_15","39_36_14"
"24_55_15","47_32_14"
"26_55_15","51_30_14"
"56_55_15","111_0_14"
"2_55_16","3_54_15"
"7_55_16","13_49_15_0"
"8_55_16_0","0"
"8_55_16_1","15_48_15_1"
"8_55_16_2","15_48_15_0"
"10_55_16_0","0"
"10_55_16_1","19_46_15"
"23_55_16","45_33_15"
"24_55_16_0","0"
"24_55_16_1","47_32_15"
"56_55_16","111_0_15"
"3_55_17","5_53_16"
"6_55_17_0","0"
"6_55_17_1","11_50_16"
"8_55_17_0","0"
"8_55_17_1","0"
"8_55_17_2","15_48_16_0 + 15_48_16_1"
"8_55_17_3","15_48_16_1"
"10_55_17_0","0"
"10_55_17_1","0"
"10_55_17_2","19_46_16"
"14_55_17_0","0"
"14_55_17_1","27_42_16"
"23_55_17_0","0"
"23_55_17_1","45_33_16"
"56_55_17_0","0"
"56_55_17_1","111_0_16"
"2_55_18","3_54_17"
"4_55_18","7_52_17"
"5_55_18","9_51_17_0"
"6_55_18_0","0"
"6_55_18_1","11_50_17"
"8_55_18_0","0"
"8_55_18_1","15_48_17_0"
"8_55_18_2","15_48_17_1"
"10_55_18","19_46_17"
"12_55_18","23_44_17"
"14_55_18","27_42_17"
"18_55_18","35_38_17"
"56_55_18","111_0_17"
"3_55_19","5_53_18"
"4_55_19_0","0"
"4_55_19_1","7_52_18"
"6_55_19_0","0"
"6_55_19_1","11_50_18"
"8_55_19_0","0"
"8_55_19_1","15_48_18"
"10_55_19","19_46_18"
"12_55_19","23_44_18"
"16_55_19","31_40_18"
"18_55_19","35_38_18"
"56_55_19","111_0_18"
"4_55_20","7_52_19"
"6_55_20_0","11_50_19_1"
"6_55_20_1","11_50_19_0"
"8_55_20_0","0"
"8_55_20_1","15_48_19"
"10_55_20_0","0"
"10_55_20_1","19_46_19"
"15_55_20_0","0"
"15_55_20_1","29_41_19"
"16_55_20_0","0"
"16_55_20_1","0"
"16_55_20_2","31_40_19"
"56_55_20_0","0"
"56_55_20_1","111_0_19"
"2_55_21","3_54_20"
"4_55_21","7_52_20"
"6_55_21_0","0"
"6_55_21_1","11_50_20_0 + 11_50_20_1"
"6_55_21_2","11_50_20_0"
"15_55_21_0","0"
"15_55_21_1","29_41_20"
"56_55_21_0","0"
"56_55_21_1","111_0_20"
"3_55_22","5_53_21"
"4_55_22_0","0"
"4_55_22_1","7_52_21"
"6_55_22_0","0"
"6_55_22_1","11_50_21_0"
"6_55_22_2","11_50_21_1"
"10_55_22_0","0"
"10_55_22_1","19_46_21"
"56_55_22_0","0"
"56_55_22_1","111_0_21"
"4_55_23","7_52_22"
"6_55_23","11_50_22"
"8_55_23","15_48_22"
"10_55_23","19_46_22"
"14_55_23","27_42_22"
"56_55_23_0","0"
"56_55_23_1","111_0_22"
"2_55_24","3_54_23"
"7_55_24","13_49_23"
"8_55_24_0","0"
"8_55_24_1","15_48_23"
"13_55_24","25_43_23"
"56_55_24_0","0"
"56_55_24_1","111_0_23"
"3_55_25","5_53_24"
"7_55_25_0","0"
"7_55_25_1","13_49_24"
"9_55_25_0","0"
"9_55_25_1","17_47_24"
"56_55_25_0","0"
"56_55_25_1","0"
"56_55_25_2","111_0_24"
"7_55_26","13_49_25"
"56_55_26_0","0"
"56_55_26_1","111_0_25"
"6_55_27","11_50_26"
"56_55_27_0","0"
"56_55_27_1","111_0_26"
"5_55_28","9_51_27"
"56_55_28_0","0"
"56_55_28_1","111_0_27"
"56_55_29","111_0_28"
"56_55_30","111_0_29"
"56_55_31","111_0_30"
"56_55_32","111_0_31"
"56_55_33","111_0_32"
"56_55_34","111_0_33"
"56_55_35","111_0_34"
"56_55_36","111_0_35"
"56_55_37","111_0_36"
"56_55_38","111_0_37"
"56_55_39","111_0_38"
"56_55_40","111_0_39"
"56_55_41","111_0_40"
"56_55_42","111_0_41"
"56_55_43","111_0_42"
"56_55_44","111_0_43"
"56_55_45","111_0_44"
"56_56_2","111_1_1"
"26_56_3","51_31_2"
"42_56_3","83_15_2"
"50_56_3","99_7_2"
"54_56_3","107_3_2"
"55_56_3","109_2_2"
"12_56_4","23_45_3"
"16_56_4_0","0"
"16_56_4_1","31_41_3_1"
"16_56_4_2","31_41_3_0"
"24_56_4_0","0"
"24_56_4_1","47_33_3"
"26_56_4_0","0"
"26_56_4_1","51_31_3_1"
"38_56_4","75_19_3"
"40_56_4_0","0"
"40_56_4_1","79_17_3"
"42_56_4_0","0"
"42_56_4_1","83_15_3"
"48_56_4_0","0"
"48_56_4_1","95_9_3"
"50_56_4_0","0"
"50_56_4_1","99_7_3"
"54_56_4","107_3_3"
"7_56_5","13_50_4_0"
"8_56_5_0","0"
"8_56_5_1","15_49_4"
"9_56_5_0","0"
"9_56_5_1","17_48_4_0"
"12_56_5_0","0"
"12_56_5_1","0"
"12_56_5_2","23_45_4"
"13_56_5_0","0"
"13_56_5_1","0"
"13_56_5_2","25_44_4_1"
"14_56_5_0","0"
"14_56_5_1","0"
"14_56_5_2","0"
"14_56_5_3","27_43_4"
"16_56_5_0","0"
"16_56_5_1","0"
"16_56_5_2","0"
"16_56_5_3","31_41_4_0"
"16_56_5_4","31_41_4_1"
"23_56_5_0","0"
"23_56_5_1","45_34_4"
"26_56_5_0","0"
"26_56_5_1","51_31_4"
"39_56_5","77_18_4_1"
"40_56_5_0","0"
"40_56_5_1","79_17_4"
"42_56_5_0","0"
"42_56_5_1","83_15_4"
"48_56_5_0","0"
"48_56_5_1","95_9_4"
"50_56_5","99_7_4"
"4_56_6","7_53_5"
"5_56_6_0","0"
"5_56_6_1","9_52_5"
"8_56_6_0","0"
"8_56_6_1","0"
"8_56_6_2","15_49_5_1"
"8_56_6_3","15_49_5_1 + 15_49_5_2"
"8_56_6_4","15_49_5_0"
"10_56_6_0","0"
"10_56_6_1","0"
"10_56_6_2","0"
"10_56_6_3","19_47_5_0"
"11_56_6_0","0"
"11_56_6_1","0"
"11_56_6_2","0"
"11_56_6_3","0"
"11_56_6_4","21_46_5"
"12_56_6_0","0"
"12_56_6_1","0"
"12_56_6_2","0"
"12_56_6_3","0"
"12_56_6_4","0"
"12_56_6_5","23_45_5_2"
"12_56_6_6","23_45_5_0 + 23_45_5_2"
"16_56_6_0","0"
"16_56_6_1","0"
"16_56_6_2","0"
"16_56_6_3","0"
"16_56_6_4","31_41_5_0 + 31_41_5_1"
"16_56_6_5","31_41_5_0"
"22_56_6","43_35_5"
"24_56_6_0","0"
"24_56_6_1","47_33_5"
"26_56_6","51_31_5_1"
"36_56_6","71_21_5"
"39_56_6","77_18_5"
"40_56_6_0","0"
"40_56_6_1","79_17_5"
"42_56_6_0","0"
"42_56_6_1","83_15_5_0 + 83_15_5_1"
"46_56_6","91_11_5"
"48_56_6_0","0"
"48_56_6_1","95_9_5"
"3_56_7","5_54_6"
"4_56_7_0","0"
"4_56_7_1","7_53_6"
"5_56_7_0","0"
"5_56_7_1","9_52_6_1"
"5_56_7_2","9_52_6_0 + 9_52_6_1"
"6_56_7_0","0"
"6_56_7_1","0"
"6_56_7_2","0"
"6_56_7_3","11_51_6_0 + 11_51_6_2"
"6_56_7_4","11_51_6_0"
"6_56_7_5","11_51_6_0 + 11_51_6_1"
"7_56_7_0","0"
"7_56_7_1","0"
"7_56_7_2","0"
"7_56_7_3","13_50_6_0"
"8_56_7_0","0"
"8_56_7_1","0"
"8_56_7_2","0"
"8_56_7_3","0"
"8_56_7_4","15_49_6_1"
"8_56_7_5","15_49_6_0"
"8_56_7_6","15_49_6_0 + 15_49_6_2"
"10_56_7_0","0"
"10_56_7_1","0"
"10_56_7_2","0"
"10_56_7_3","19_47_6_0"
"10_56_7_4","19_47_6_0 + 19_47_6_1"
"12_56_7_0","0"
"12_56_7_1","0"
"12_56_7_2","0"
"12_56_7_3","23_45_6_0"
"12_56_7_4","23_45_6_0 + 23_45_6_1 + 23_45_6_2"
"12_56_7_5","23_45_6_0 + 23_45_6_2"
"14_56_7_0","0"
"14_56_7_1","0"
"14_56_7_2","27_43_6"
"19_56_7","37_38_6_0"
"20_56_7_0","0"
"20_56_7_1","39_37_6"
"23_56_7_0","0"
"23_56_7_1","45_34_6"
"26_56_7_0","0"
"26_56_7_1","51_31_6"
"34_56_7","67_23_6"
"37_56_7","73_20_6"
"40_56_7_0","0"
"40_56_7_1","79_17_6"
"42_56_7_0","0"
"42_56_7_1","83_15_6"
"46_56_7","91_11_6"
"47_56_7","93_10_6"
"2_56_8","3_55_7"
"3_56_8_0","0"
"3_56_8_1","5_54_7"
"4_56_8_0","0"
"4_56_8_1","0"
"4_56_8_2","7_53_7_2"
"4_56_8_3","7_53_7_1 + 7_53_7_3"
"4_56_8_4","7_53_7_1"
"4_56_8_5","7_53_7_0 + 7_53_7_1"
"6_56_8_0","0"
"6_56_8_1","0"
"6_56_8_2","0"
"6_56_8_3","11_51_7_0 + 11_51_7_1"
"6_56_8_4","11_51_7_1"
"7_56_8_0","0"
"7_56_8_1","0"
"7_56_8_2","13_50_7"
"8_56_8_0","0"
"8_56_8_1","0"
"8_56_8_2","0"
"8_56_8_3","15_49_7"
"10_56_8_0","0"
"10_56_8_1","0"
"10_56_8_2","19_47_7_0"
"12_56_8_0","0"
"12_56_8_1","23_45_7_0"
"12_56_8_2","23_45_7_1 + 23_45_7_2"
"12_56_8_3","23_45_7_0 + 23_45_7_1"
"16_56_8_0","0"
"16_56_8_1","31_41_7"
"20_56_8_0","39_37_7_1"
"20_56_8_1","39_37_7_0"
"24_56_8","47_33_7"
"26_56_8","51_31_7"
"34_56_8","67_23_7"
"40_56_8_0","0"
"40_56_8_1","79_17_7"
"42_56_8","83_15_7"
"46_56_8","91_11_7"
"2_56_9","3_55_8"
"4_56_9_0","0"
"4_56_9_1","7_53_8_0"
"4_56_9_2","7_53_8_2"
"4_56_9_3","7_53_8_0 + 7_53_8_1 + 7_53_8_2"
"5_56_9_0","0"
"5_56_9_1","9_52_8_1"
"5_56_9_2","9_52_8_0 + 9_52_8_1"
"6_56_9_0","0"
"6_56_9_1","0"
"6_56_9_2","11_51_8_1"
"6_56_9_3","11_51_8_0"
"8_56_9_0","0"
"8_56_9_1","0"
"8_56_9_2","0"
"8_56_9_3","15_49_8_1"
"8_56_9_4","15_49_8_0"
"10_56_9_0","0"
"10_56_9_1","0"
"10_56_9_2","19_47_8_2"
"12_56_9_0","0"
"12_56_9_1","0"
"12_56_9_2","23_45_8"
"14_56_9_0","0"
"14_56_9_1","27_43_8"
"15_56_9_0","0"
"15_56_9_1","29_42_8_0"
"16_56_9_0","0"
"16_56_9_1","0"
"16_56_9_2","31_41_8"
"20_56_9_0","0"
"20_56_9_1","39_37_8_0 + 39_37_8_1"
"20_56_9_2","39_37_8_1"
"22_56_9_0","0"
"22_56_9_1","0"
"22_56_9_2","43_35_8"
"26_56_9_0","0"
"26_56_9_1","51_31_8_0 + 51_31_8_1"
"28_56_9_0","0"
"28_56_9_1","55_29_8"
"32_56_9_0","0"
"32_56_9_1","63_25_8"
"34_56_9_0","0"
"34_56_9_1","0"
"34_56_9_2","67_23_8"
"40_56_9_0","0"
"40_56_9_1","0"
"40_56_9_2","79_17_8"
"42_56_9_0","0"
"42_56_9_1","83_15_8"
"2_56_10","3_55_9"
"3_56_10_0","5_54_9_1"
"3_56_10_1","5_54_9_0"
"4_56_10_0","0"
"4_56_10_1","0"
"4_56_10_2","7_53_9_1"
"4_56_10_3","7_53_9_2"
"4_56_10_4","7_53_9_0"
"6_56_10_0","0"
"6_56_10_1","0"
"6_56_10_2","11_51_9"
"8_56_10_0","0"
"8_56_10_1","0"
"8_56_10_2","15_49_9"
"9_56_10_0","0"
"9_56_10_1","0"
"9_56_10_2","17_48_9_1"
"10_56_10_0","0"
"10_56_10_1","0"
"10_56_10_2","19_47_9"
"12_56_10_0","0"
"12_56_10_1","0"
"12_56_10_2","23_45_9_1"
"12_56_10_3","23_45_9_0 + 23_45_9_1"
"14_56_10_0","0"
"14_56_10_1","0"
"14_56_10_2","0"
"14_56_10_3","27_43_9"
"19_56_10_0","0"
"19_56_10_1","0"
"19_56_10_2","37_38_9"
"20_56_10_0","0"
"20_56_10_1","0"
"20_56_10_2","0"
"20_56_10_3","39_37_9"
"22_56_10_0","0"
"22_56_10_1","0"
"22_56_10_2","43_35_9"
"26_56_10_0","0"
"26_56_10_1","0"
"26_56_10_2","51_31_9_0"
"26_56_10_3","51_31_9_1"
"28_56_10_0","0"
"28_56_10_1","0"
"28_56_10_2","55_29_9"
"31_56_10_0","0"
"31_56_10_1","0"
"31_56_10_2","61_26_9"
"32_56_10_0","0"
"32_56_10_1","0"
"32_56_10_2","0"
"32_56_10_3","63_25_9"
"34_56_10_0","0"
"34_56_10_1","0"
"34_56_10_2","0"
"34_56_10_3","67_23_9_1"
"38_56_10_0","0"
"38_56_10_1","0"
"38_56_10_2","75_19_9"
"40_56_10_0","0"
"40_56_10_1","0"
"40_56_10_2","0"
"40_56_10_3","79_17_9"
"2_56_11_0","3_55_10_1"
"2_56_11_1","3_55_10_0"
"3_56_11_0","0"
"3_56_11_1","5_54_10_0"
"4_56_11_0","0"
"4_56_11_1","0"
"4_56_11_2","7_53_10_2"
"4_56_11_3","7_53_10_0 + 7_53_10_1 + 7_53_10_2"
"4_56_11_4","7_53_10_1 + 7_53_10_2"
"5_56_11_0","0"
"5_56_11_1","9_52_10_0"
"6_56_11_0","0"
"6_56_11_1","0"
"6_56_11_2","11_51_10"
"8_56_11_0","0"
"8_56_11_1","0"
"8_56_11_2","15_49_10"
"10_56_11_0","0"
"10_56_11_1","19_47_10"
"12_56_11_0","0"
"12_56_11_1","0"
"12_56_11_2","23_45_10"
"16_56_11_0","0"
"16_56_11_1","31_41_10"
"20_56_11_0","0"
"20_56_11_1","39_37_10"
"26_56_11_0","0"
"26_56_11_1","51_31_10_0"
"26_56_11_2","51_31_10_0 + 51_31_10_1"
"29_56_11_0","0"
"29_56_11_1","57_28_10"
"32_56_11_0","0"
"32_56_11_1","0"
"32_56_11_2","63_25_10"
"34_56_11_0","0"
"34_56_11_1","0"
"34_56_11_2","67_23_10"
"38_56_11_0","0"
"38_56_11_1","75_19_10"
"39_56_11_0","0"
"39_56_11_1","77_18_10"
"2_56_12_0","3_55_11_0"
"2_56_12_1","3_55_11_1"
"3_56_12","5_54_11"
"4_56_12_0","0"
"4_56_12_1","7_53_11"
"8_56_12_0","0"
"8_56_12_1","15_49_11_1"
"8_56_12_2","15_49_11_0"
"12_56_12_0","0"
"12_56_12_1","23_45_11"
"14_56_12_0","0"
"14_56_12_1","27_43_11"
"16_56_12_0","0"
"16_56_12_1","0"
"16_56_12_2","31_41_11"
"26_56_12_0","0"
"26_56_12_1","51_31_11"
"27_56_12_0","0"
"27_56_12_1","53_30_11"
"32_56_12_0","0"
"32_56_12_1","0"
"32_56_12_2","63_25_11"
"34_56_12_0","0"
"34_56_12_1","67_23_11"
"38_56_12_0","0"
"38_56_12_1","75_19_11"
"2_56_13","3_55_12"
"3_56_13_0","0"
"3_56_13_1","5_54_12"
"6_56_13_0","0"
"6_56_13_1","0"
"6_56_13_2","11_51_12_1"
"6_56_13_3","11_51_12_0 + 11_51_12_1"
"8_56_13_0","0"
"8_56_13_1","0"
"8_56_13_2","0"
"8_56_13_3","15_49_12"
"12_56_13_0","0"
"12_56_13_1","0"
"12_56_13_2","23_45_12_1"
"12_56_13_3","23_45_12_0 + 23_45_12_1"
"14_56_13_0","0"
"14_56_13_1","0"
"14_56_13_2","0"
"14_56_13_3","27_43_12"
"20_56_13_0","0"
"20_56_13_1","0"
"20_56_13_2","39_37_12"
"24_56_13_0","0"
"24_56_13_1","0"
"24_56_13_2","47_33_12"
"26_56_13_0","0"
"26_56_13_1","0"
"26_56_13_2","0"
"26_56_13_3","51_31_12"
"32_56_13_0","0"
"32_56_13_1","0"
"32_56_13_2","0"
"32_56_13_3","63_25_12"
"34_56_13_0","0"
"34_56_13_1","0"
"34_56_13_2","67_23_12"
"2_56_14","3_55_13"
"4_56_14_0","7_53_13_1"
"4_56_14_1","7_53_13_0"
"8_56_14","15_49_13"
"11_56_14","21_46_13"
"14_56_14","27_43_13"
"18_56_14","35_39_13"
"20_56_14","39_37_13"
"23_56_14","45_34_13"
"24_56_14_0","0"
"24_56_14_1","47_33_13"
"26_56_14_0","0"
"26_56_14_1","51_31_13_1"
"30_56_14","59_27_13"
"32_56_14_0","0"
"32_56_14_1","63_25_13"
"2_56_15","3_55_14"
"8_56_15_0","15_49_14_1"
"8_56_15_1","15_49_14_0 + 15_49_14_1"
"18_56_15","35_39_14"
"21_56_15","41_36_14"
"24_56_15_0","0"
"24_56_15_1","47_33_14"
"26_56_15_0","0"
"26_56_15_1","51_31_14"
"30_56_15","59_27_14"
"31_56_15","61_26_14"
"3_56_16","5_54_15"
"6_56_16_0","0"
"6_56_16_1","11_51_15"
"8_56_16_0","0"
"8_56_16_1","0"
"8_56_16_2","15_49_15_0"
"8_56_16_3","15_49_15_0 + 15_49_15_1"
"18_56_16_0","0"
"18_56_16_1","35_39_15"
"24_56_16_0","0"
"24_56_16_1","0"
"24_56_16_2","47_33_15"
"26_56_16_0","0"
"26_56_16_1","51_31_15"
"30_56_16_0","0"
"30_56_16_1","59_27_15"
"2_56_17","3_55_16"
"4_56_17_0","7_53_16_0 + 7_53_16_1"
"4_56_17_1","7_53_16_0"
"6_56_17_0","0"
"6_56_17_1","11_51_16_0"
"6_56_17_2","11_51_16_1"
"12_56_17","23_45_16"
"16_56_17","31_41_16"
"18_56_17_0","0"
"18_56_17_1","35_39_16"
"24_56_17_0","0"
"24_56_17_1","47_33_16"
"26_56_17","51_31_16"
"2_56_18","3_55_17"
"3_56_18_0","0"
"3_56_18_1","5_54_17"
"4_56_18_0","0"
"4_56_18_1","0"
"4_56_18_2","7_53_17"
"6_56_18_0","0"
"6_56_18_1","11_51_17_0 + 11_51_17_1"
"6_56_18_2","11_51_17_0"
"10_56_18_0","0"
"10_56_18_1","19_47_17_0"
"10_56_18_2","19_47_17_1"
"12_56_18_0","0"
"12_56_18_1","23_45_17"
"15_56_18_0","0"
"15_56_18_1","29_42_17"
"16_56_18_0","0"
"16_56_18_1","0"
"16_56_18_2","31_41_17"
"18_56_18_0","0"
"18_56_18_1","0"
"18_56_18_2","35_39_17_1"
"22_56_18_0","0"
"22_56_18_1","43_35_17"
"24_56_18_0","0"
"24_56_18_1","0"
"24_56_18_2","47_33_17"
"4_56_19","7_53_18"
"6_56_19","11_51_18"
"7_56_19","13_50_18_0"
"10_56_19_0","0"
"10_56_19_1","19_47_18_0"
"10_56_19_2","19_47_18_0 + 19_47_18_1"
"13_56_19_0","0"
"13_56_19_1","25_44_18"
"16_56_19_0","0"
"16_56_19_1","0"
"16_56_19_2","31_41_18"
"18_56_19_0","0"
"18_56_19_1","0"
"18_56_19_2","35_39_18"
"22_56_19_0","0"
"22_56_19_1","43_35_18"
"23_56_19_0","0"
"23_56_19_1","45_34_18"
"2_56_20","3_55_19"
"4_56_20","7_53_19"
"10_56_20_0","0"
"10_56_20_1","19_47_19"
"11_56_20_0","0"
"11_56_20_1","21_46_19"
"16_56_20_0","0"
"16_56_20_1","0"
"16_56_20_2","31_41_19"
"18_56_20_0","0"
"18_56_20_1","35_39_19"
"22_56_20_0","0"
"22_56_20_1","43_35_19"
"3_56_21","5_54_20"
"4_56_21_0","0"
"4_56_21_1","7_53_20"
"6_56_21_0","0"
"6_56_21_1","11_51_20"
"8_56_21_0","0"
"8_56_21_1","15_49_20_1"
"8_56_21_2","15_49_20_0"
"10_56_21_0","0"
"10_56_21_1","0"
"10_56_21_2","19_47_20"
"16_56_21_0","0"
"16_56_21_1","0"
"16_56_21_2","31_41_20"
"18_56_21_0","0"
"18_56_21_1","35_39_20"
"4_56_22","7_53_21"
"6_56_22","11_51_21"
"7_56_22","13_50_21_0"
"8_56_22_0","0"
"8_56_22_1","15_49_21"
"10_56_22_0","0"
"10_56_22_1","19_47_21_1"
"14_56_22","27_43_21"
"16_56_22_0","0"
"16_56_22_1","31_41_21"
"2_56_23","3_55_22"
"4_56_23","7_53_22"
"5_56_23","9_52_22"
"8_56_23_0","0"
"8_56_23_1","15_49_22"
"10_56_23_0","0"
"10_56_23_1","19_47_22"
"14_56_23","27_43_22"
"15_56_23","29_42_22"
"3_56_24","5_54_23"
"4_56_24_0","0"
"4_56_24_1","7_53_23"
"8_56_24_0","0"
"8_56_24_1","15_49_23"
"10_56_24","19_47_23"
"14_56_24","27_43_23"
"4_56_25","7_53_24"
"8_56_25","15_49_24"
"10_56_25","19_47_24"
"2_56_26","3_55_25"
"6_56_26_0","0"
"6_56_26_1","11_51_25"
"8_56_26_0","0"
"8_56_26_1","0"
"8_56_26_2","15_49_25"
"3_56_27","5_54_26"
"6_56_27_0","0"
"6_56_27_1","11_51_26"
"7_56_27_0","0"
"7_56_27_1","13_50_26"
"6_56_28","11_51_27"
"58_57_2","115_0_1"
"24_57_3","47_34_2"
"40_57_3","79_18_2"
"44_57_3","87_14_2"
"56_57_3","111_2_2"
"58_57_3","115_0_2"
"20_57_4","39_38_3"
"21_57_4","41_37_3"
"24_57_4_0","0"
"24_57_4_1","47_34_3"
"28_57_4","55_30_3"
"37_57_4","73_21_3"
"39_57_4_0","0"
"39_57_4_1","77_19_3"
"40_57_4_0","0"
"40_57_4_1","0"
"40_57_4_2","79_18_3"
"44_57_4_0","0"
"44_57_4_1","87_14_3"
"55_57_4","109_3_3"
"58_57_4","115_0_3"
"8_57_5_0","15_50_4_1"
"8_57_5_1","15_50_4_0"
"10_57_5_0","0"
"10_57_5_1","19_48_4_0"
"14_57_5_0","0"
"14_57_5_1","27_44_4_1"
"19_57_5","37_39_4"
"20_57_5_0","0"
"20_57_5_1","39_38_4_0 + 39_38_4_1"
"24_57_5_0","0"
"24_57_5_1","47_34_4"
"28_57_5","55_30_4"
"35_57_5","69_23_4"
"36_57_5_0","0"
"36_57_5_1","71_22_4"
"40_57_5_0","0"
"40_57_5_1","0"
"40_57_5_2","79_18_4_1"
"40_57_5_3","79_18_4_0"
"58_57_5","115_0_4"
"4_57_6","7_54_5"
"5_57_6_0","0"
"5_57_6_1","9_53_5_0"
"6_57_6_0","0"
"6_57_6_1","0"
"6_57_6_2","11_52_5"
"7_57_6_0","0"
"7_57_6_1","0"
"7_57_6_2","13_51_5_1"
"8_57_6_0","0"
"8_57_6_1","0"
"8_57_6_2","0"
"8_57_6_3","15_50_5"
"10_57_6_0","0"
"10_57_6_1","19_48_5_1"
"12_57_6","23_46_5"
"14_57_6_0","27_44_5_1"
"14_57_6_1","27_44_5_0"
"18_57_6_0","35_40_5_0"
"18_57_6_1","35_40_5_1"
"19_57_6_0","0"
"19_57_6_1","37_39_5"
"20_57_6_0","0"
"20_57_6_1","0"
"20_57_6_2","39_38_5"
"23_57_6_0","0"
"23_57_6_1","45_35_5"
"28_57_6","55_30_5"
"34_57_6","67_24_5"
"37_57_6_0","0"
"37_57_6_1","73_21_5"
"38_57_6_0","0"
"38_57_6_1","0"
"38_57_6_2","75_20_5"
"40_57_6_0","0"
"40_57_6_1","0"
"40_57_6_2","79_18_5"
"44_57_6","87_14_5"
"58_57_6","115_0_5"
"3_57_7","5_55_6"
"4_57_7_0","0"
"4_57_7_1","7_54_6_1"
"4_57_7_2","7_54_6_0"
"6_57_7_0","0"
"6_57_7_1","11_52_6_1 + 11_52_6_2"
"6_57_7_2","11_52_6_1"
"6_57_7_3","11_52_6_0"
"8_57_7_0","0"
"8_57_7_1","15_50_6"
"10_57_7_0","0"
"10_57_7_1","19_48_6_1"
"10_57_7_2","19_48_6_0 + 19_48_6_1"
"11_57_7_0","0"
"11_57_7_1","21_47_6_1"
"12_57_7_0","0"
"12_57_7_1","0"
"12_57_7_2","23_46_6_3"
"12_57_7_3","23_46_6_1"
"12_57_7_4","23_46_6_0 + 23_46_6_1 + 23_46_6_3"
"14_57_7","27_44_6_0"
"16_57_7","31_42_6"
"18_57_7_0","0"
"18_57_7_1","35_40_6_0"
"20_57_7_0","0"
"20_57_7_1","39_38_6_0"
"24_57_7","47_34_6"
"28_57_7","55_30_6"
"32_57_7_0","0"
"32_57_7_1","63_26_6"
"35_57_7_0","0"
"35_57_7_1","0"
"35_57_7_2","69_23_6"
"38_57_7_0","0"
"38_57_7_1","0"
"38_57_7_2","75_20_6"
"44_57_7_0","0"
"44_57_7_1","87_14_6"
"48_57_7_0","0"
"48_57_7_1","95_10_6"
"58_57_7_0","0"
"58_57_7_1","115_0_6"
"2_57_8","3_56_7"
"3_57_8_0","5_55_7_0"
"3_57_8_1","5_55_7_0 + 5_55_7_1"
"4_57_8_0","0"
"4_57_8_1","0"
"4_57_8_2","7_54_7"
"5_57_8_0","0"
"5_57_8_1","9_53_7_0"
"6_57_8_0","0"
"6_57_8_1","11_52_7_1"
"6_57_8_2","11_52_7_0 + 11_52_7_1"
"7_57_8_0","0"
"7_57_8_1","13_51_7_0"
"8_57_8_0","0"
"8_57_8_1","0"
"8_57_8_2","15_50_7_0"
"8_57_8_3","15_50_7_0 + 15_50_7_1"
"10_57_8_0","0"
"10_57_8_1","0"
"10_57_8_2","19_48_7_1"
"11_57_8_0","0"
"11_57_8_1","0"
"11_57_8_2","21_47_7_0"
"12_57_8_0","0"
"12_57_8_1","0"
"12_57_8_2","0"
"12_57_8_3","23_46_7_1"
"12_57_8_4","23_46_7_1 + 23_46_7_2"
"12_57_8_5","23_46_7_0"
"13_57_8_0","0"
"13_57_8_1","0"
"13_57_8_2","25_45_7_0"
"16_57_8_0","0"
"16_57_8_1","0"
"16_57_8_2","31_42_7_1"
"16_57_8_3","31_42_7_0"
"19_57_8_0","0"
"19_57_8_1","37_39_7"
"20_57_8_0","0"
"20_57_8_1","0"
"20_57_8_2","39_38_7"
"21_57_8_0","0"
"21_57_8_1","0"
"21_57_8_2","41_37_7_0"
"26_57_8_0","0"
"26_57_8_1","0"
"26_57_8_2","51_32_7"
"28_57_8_0","0"
"28_57_8_1","0"
"28_57_8_2","0"
"28_57_8_3","55_30_7"
"32_57_8_0","0"
"32_57_8_1","0"
"32_57_8_2","0"
"32_57_8_3","63_26_7"
"47_57_8_0","0"
"47_57_8_1","0"
"47_57_8_2","93_11_7"
"58_57_8_0","0"
"58_57_8_1","0"
"58_57_8_2","115_0_7"
"2_57_9_0","3_56_8_0"
"2_57_9_1","3_56_8_1"
"3_57_9","5_55_8_0"
"4_57_9_0","0"
"4_57_9_1","7_54_8_0"
"4_57_9_2","7_54_8_1"
