4, 18, 16, 2, 0, 0, 0
4, 25, 23, 4, 0, 0, 0
4, 34, 32, 4, 0, 0, 0
4, 34, 32, 6, 0, 0, 0
4, 36, 34, 3, 0, 0, 0
4, 39, 37, 8, 0, 0, 1
4, 40, 38, 2, 0, 0, 1
4, 40, 38, 4, 0, 0, 0
4, 41, 39, 5, 0, 0, 0
4, 41, 39, 12, 0, 0, 1
4, 42, 40, 5, 0, 0, 0
4, 47, 45, 12, 0, 0, 1
4, 49, 47, 16, 0, 0, 1
4, 50, 48, 6, 0, 0, 0
4, 50, 48, 9, 0, 0, 0
4, 52, 50, 10, 0, 0, 1
4, 54, 52, 8, 0, 0, 0
4, 55, 53, 7, 0, 0, 0
4, 57, 55, 11, 0, 0, 1
4, 57, 55, 20, 0, 0, 1
4, 58, 56, 13, 0, 0, 1
4, 60, 58, 8, 0, 0, 0
4, 60, 58, 14, 0, 0, 1
4, 64, 62, 2, 0, 0, 0
4, 65, 63, 6, 0, 0, 0
4, 65, 63, 6, 1, 0, 0
4, 65, 63, 6, 2, 0, 0
4, 65, 63, 23, 0, 0, 0
4, 66, 64, 2, 0, 0, 0
4, 66, 64, 4, 0, 0, 0
4, 66, 64, 5, 0, 0, 0
4, 66, 64, 5, 1, 0, 0
4, 66, 64, 7, 0, 0, 0
4, 66, 64, 7, 1, 0, 0
4, 66, 64, 7, 2, 0, 0
4, 66, 64, 10, 0, 0, 0
4, 67, 65, 10, 0, 0, 0
4, 68, 66, 6, 0, 0, 0
4, 68, 66, 8, 0, 0, 0
4, 68, 66, 18, 0, 0, 1
4, 69, 67, 8, 0, 0, 0
4, 69, 67, 8, 1, 0, 0
4, 71, 69, 3, 0, 0, 0
4, 71, 69, 3, 1, 0, 0
4, 72, 70, 9, 0, 0, 0
4, 73, 71, 5, 0, 0, 0
4, 73, 71, 6, 0, 0, 0
4, 73, 71, 19, 0, 0, 1
4, 74, 72, 5, 0, 0, 0
4, 74, 72, 8, 0, 0, 0
4, 74, 72, 15, 0, 0, 0
4, 74, 72, 21, 0, 0, 1
4, 75, 73, 9, 0, 0, 0
4, 75, 73, 17, 0, 0, 0
4, 76, 74, 10, 0, 0, 0
4, 76, 74, 19, 0, 0, 0
4, 77, 75, 6, 0, 0, 0
4, 79, 77, 3, 0, 0, 0
4, 79, 77, 10, 0, 0, 0
4, 80, 78, 5, 0, 0, 1
4, 81, 79, 3, 0, 0, 0
4, 82, 80, 10, 0, 0, 0
4, 83, 81, 5, 0, 0, 0
4, 83, 81, 5, 1, 0, 0
4, 83, 81, 8, 0, 0, 0
4, 84, 82, 4, 0, 0, 0
4, 84, 82, 6, 0, 0, 0
4, 85, 83, 6, 0, 0, 0
4, 86, 84, 6, 0, 0, 0
4, 33, 31, 8, 0, 0, 1
4, 33, 31, 9, 0, 0, 1
